Movie Title,IMDB Rating,Minutes,Parental Guidance Rating,Review Count,Year
Paths of Glory,8.4,88,Approved,206000,1957
Persona,8.1,83,Not Rated,126000,1966
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143,PG-13,1200000,2003
Platoon,8.1,120,R,428000,1986
Princess Mononoke,8.3,134,PG-13,415000,1997
Prisoners,8.1,153,R,768000,2013
Psycho,8.5,109,R,698000,1960
Pulp Fiction,8.9,154,R,2100000,1994
Raging Bull,8.1,129,R,369000,1980
Ran,8.2,162,R,132000,1985
Rashomon,8.2,88,Not Rated,175000,1950
Ratatouille,8.1,111,G,786000,2007
Rear Window,8.5,112,PG,508000,1954
Rebecca,8.1,130,Approved,143000,1940
Requiem for a Dream,8.3,102,Unrated,874000,2000
Reservoir Dogs,8.3,99,R,1100000,1992
Rocky,8.1,120,PG,609000,1976
Room,8.1,118,R,438000,2015
Rush,8.1,123,R,499000,2013
Saving Private Ryan,8.6,169,R,1400000,1998
Scarface,8.3,170,18+,883000,1983
Schindler's List,9,195,R,1400000,1993
Se7en,8.6,127,R,1700000,1995
Seven Samurai,8.6,207,Not Rated,358000,1954
Sherlock Jr.,8.2,45,Passed,54000,1924
Shutter Island,8.2,138,R,1400000,2010
Singin' in the Rain,8.3,103,G,253000,1952
Snatch,8.2,102,R,885000,2000
Some Like It Hot,8.2,121,Passed,277000,1959
Spider-Man: Across the Spider-Verse,8.7,140,PG,253000,2023
Spider-Man: Into the Spider-Verse,8.4,117,PG,628000,2018
Spider-Man: No Way Home,8.2,148,PG-13,829000,2021
Spirited Away,8.6,125,PG,808000,2001
Spotlight,8.1,129,R,489000,2015
Stand by Me,8.1,89,R,426000,1986
Star Wars: Episode IV - A New Hope,8.6,121,PG,1400000,1977
Star Wars: Episode V - The Empire Strikes Back,8.7,124,PG,1300000,1980
Star Wars: Episode VI - Return of the Jedi,8.3,131,PG,1100000,1983
Sunset Blvd.,8.4,110,Passed,230000,1950
Taxi Driver,8.2,114,R,883000,1976
Terminator 2: Judgment Day,8.6,137,R,1100000,1991
The 400 Blows,8.1,99,Not Rated,124000,1959
The Apartment,8.3,125,Approved,190000,1960
The Battle of Algiers,8.1,121,Not Rated,64000,1966
The Best Years of Our Lives,8.1,170,Approved,68000,1946
The Big Lebowski,8.1,117,R,837000,1998
The Bridge on the River Kwai,8.1,161,PG,228000,1957
The Dark Knight,9,152,PG-13,2800000,2008
The Dark Knight Rises,8.4,164,PG-13,1800000,2012
The Deer Hunter,8.1,183,R,351000,1978
The Departed,8.5,151,R,1400000,2006
The Elephant Man,8.2,124,PG,252000,1980
The Exorcist,8.1,122,R,431000,1973
The Father,8.2,97,PG-13,177000,2020
The General,8.1,78,Passed,95000,1926
The Godfather,9.2,175,R,1900000,1972
The Godfather Part II,9,202,R,1300000,1974
The Gold Rush,8.1,95,Passed,116000,1925
"The Good, the Bad and the Ugly",8.8,178,Approved,788000,1966
The Grand Budapest Hotel,8.1,99,R,856000,2014
The Grapes of Wrath,8.1,129,Passed,97000,1940
